JANELAS,RMSE_MULT,MAPE_MULT,MDA_MULT,RMSE_SENT,MAPE_SENT,MDA_SENT,RMSE_COUNT,MAPE_COUNT,MDA_COUNT
1,3.775928e-01,2.679819e-01,1.0,9.476497e+00,1.072199e+01,0.0,7.422818e+00,5.487901e+00,1.0
2,3.517391e+00,2.709669e+00,1.0,5.782077e+00,6.821579e+00,0.0,8.055296e+00,7.703170e+00,1.0
3,3.497065e+00,2.441688e+00,0.5,3.764110e+00,3.706609e+00,0.0,4.463958e+00,4.281940e+00,0.5
4,3.510000e+00,2.616380e+00,0.5,4.323221e+00,3.799871e+00,0.5,2.233889e+00,2.468884e+00,0.5
5,3.093199e-01,2.163226e-01,1.0,4.463076e+00,3.653685e+00,1.0,2.280640e+00,2.317934e+00,1.0
6,3.093199e-01,2.163226e-01,1.0,4.463076e+00,3.653685e+00,1.0,3.372684e+00,3.110803e+00,1.0
7,7.098718e-02,4.162973e-02,1.0,8.917855e+00,5.614178e+00,0.5,3.150359e+00,2.412031e+00,1.0
8,8.204641e-15,3.820738e-15,1.0,8.480083e+00,3.995738e+00,0.5,2.628264e+00,1.393415e+00,1.0
9,1.834613e-14,1.170318e-14,1.0,1.190689e+01,8.010798e+00,1.0,1.160311e-14,7.761958e-15,1.0
10,1.834613e-14,1.170318e-14,1.0,8.358358e+00,4.015060e+00,1.0,1.160311e-14,7.761958e-15,1.0
11,7.186586e-02,3.452182e-02,1.0,3.961987e+00,1.903198e+00,1.0,1.911513e-01,9.182231e-02,1.0
12,0.000000e+00,0.000000e+00,1.0,1.640928e-14,5.990454e-15,1.0,1.640928e-14,5.990454e-15,1.0
13,0.000000e+00,0.000000e+00,1.0,1.640928e-14,5.990454e-15,1.0,1.640928e-14,5.990454e-15,1.0
14,0.000000e+00,0.000000e+00,1.0,0.000000e+00,0.000000e+00,1.0,0.000000e+00,0.000000e+00,1.0
15,1.640928e-14,5.274121e-15,1.0,1.640928e-14,5.274121e-15,1.0,1.640928e-14,5.274121e-15,1.0
16,2.320623e-14,9.879139e-15,1.0,2.320623e-14,9.879139e-15,1.0,2.772159e-01,9.589615e-02,1.0
17,2.842171e-14,1.429485e-14,1.0,2.320623e-14,9.879139e-15,1.0,2.320623e-14,9.879139e-15,1.0
18,2.842171e-14,1.348976e-14,1.0,1.640928e-14,4.605018e-15,1.0,1.640928e-14,4.605018e-15,1.0
19,4.480830e-01,1.624495e-01,1.0,9.498228e-01,3.443519e-01,1.0,1.367489e+00,4.957739e-01,1.0
20,3.040797e+00,1.613715e+00,1.0,4.239225e+00,2.337911e+00,1.0,1.016279e+01,5.355056e+00,1.0
21,3.041069e+00,1.633100e+00,1.0,4.357888e+00,2.818931e+00,1.0,1.017627e+01,5.604335e+00,1.0
22,3.652402e+00,2.730212e+00,1.0,5.043679e+00,4.122692e+00,1.0,1.010045e+01,5.459222e+00,1.0
23,3.072750e+00,2.443290e+00,1.0,3.008876e+00,2.553418e+00,1.0,3.540239e+00,2.372273e+00,1.0
